bpid,mlbid,Name,Age,Team,WARP,DRA-,DRA,DRA SD,cFIP,G,GS,GR,IP,W,L,SV,ERA,RA9,FIP,WHIP,K%,BB%,K/BB,Whiff%
47279,445926,Jesse Chavez,33,LAA,1.1,117,5.51,0.66,115,38,21,17,138,7,11,0,5.35,5.41,5.09,1.4,20.3,7.7,2.6,20.9
51129,501925,Joe Smith,33,,1.1,69,3.22,0.52,72,59,0,59,54,3,0,1,3.33,3.33,2.1,1.04,33.2,4.7,7.1,25.4
104863,656794,Sean Newcomb,24,ATL,1.1,99,4.64,0.7,100,19,19,0,100,4,9,0,4.32,4.59,4.19,1.57,23.7,12.5,1.9,27.4
67169,593140,Michael Feliz,24,HOU,1.1,77,3.64,0.8,85,46,0,46,48,4,2,0,5.63,5.81,3.78,1.56,32.1,10.1,3.2,32.4
52232,453344,Brandon Morrow,32,LAD,1.1,77,3.61,0.61,80,45,0,45,43.7,6,0,2,2.06,2.06,1.55,0.92,29.4,5.3,5.6,29.2
58731,527054,Julio Teheran,26,ATL,1.1,117,5.48,0.58,118,32,32,0,188.3,11,13,0,4.49,4.92,4.95,1.37,18.6,8.9,2.1,21.6
58268,475479,David Phelps,30,,1.1,89,4.16,0.6,94,54,0,54,55.7,4,5,0,3.4,3.72,3.55,1.38,26.1,10.9,2.4,24.6
51959,453281,Wade LeBlanc,32,PIT,1.1,97,4.54,0.62,100,50,0,50,68,5,2,1,4.5,4.63,4.28,1.19,19.1,6,3.2,22.5
70431,605151,Archie Bradley,24,ARI,1.1,80,3.77,0.52,83,63,0,63,73,3,3,1,1.73,1.73,2.61,1.04,27.2,7.2,3.8,23.1
57860,518693,Sam Freeman,30,ATL,1,87,4.08,0.62,90,58,0,58,60,2,0,0,2.55,2.85,3.34,1.25,23.2,10.6,2.2,26.2
31537,425492,Ryan Madson,36,,1,78,3.65,0.47,76,60,0,60,59,5,4,2,1.83,1.83,1.99,0.8,30.6,4.1,7.4,29.2
67132,592789,Noah Syndergaard,24,NYM,1,70,3.29,0.8,72,7,7,0,30.3,1,2,0,2.97,4.15,1.31,1.05,27.4,2.4,11.3,29.8
53253,448281,Sean Doolittle,30,,1,88,4.13,0.6,93,53,0,53,51.3,2,0,24,2.81,3.16,2.59,0.86,31.5,5.1,6.2,28.7
57708,518813,Greg Holland,31,COL,1,77,3.6,0.68,85,61,0,61,57.3,3,6,41,3.61,3.77,3.72,1.15,29.8,11.1,2.7,35.8
31361,425794,Adam Wainwright,35,STL,1,108,5.06,0.67,103,24,23,1,123.3,12,5,0,5.11,5.33,4.29,1.5,17.6,8.2,2.1,17.8
70957,607219,Sal Romano,23,CIN,1,101,4.75,0.68,99,16,16,0,87,5,8,0,4.45,5.07,4.24,1.47,19,9.6,2,22.1
101384,623352,Josh Hader,23,MIL,1,66,3.1,0.64,74,35,0,35,47.7,2,3,0,2.08,2.08,3.03,0.99,36.2,11.7,3.1,37.3
68390,518748,Justin Grimm,28,CHC,1,97,4.58,0.71,103,50,0,50,55.3,1,2,1,5.53,5.53,5.36,1.34,25.4,11.6,2.2,30.1
46711,465657,Joakim Soria,33,KC,1,75,3.52,0.58,74,59,0,59,56,4,3,1,3.7,3.86,2.23,1.23,27.6,8.6,3.2,30.2
50118,502083,Zach McAllister,29,CLE,1,93,4.36,0.64,99,50,0,50,62,2,2,0,2.61,2.61,3.77,1.19,26.5,8.4,3.1,23.6
